branch	index	type	name	dialog	dialog2	nextIndex	nextIndex2	Background	Transition	Ambience	SE
0	0	Skip				1		0	FadeIn_B	0	
0	1	Dialog		(아침부터 내린 비는 해가 저물어도 그칠 줄 몰랐다.)		2		0			0
0	2	Dialog	Username	응?		3		0			
0	3	Dialog	Username	……고양이?		4		0			
0	4	Dialog	Username	그리고… 화분?		5		0			
0	5	Dialog		(화분 곁에 누워 있는 고양이의 옆쪽에 펼쳐진 웬 수첩이 놓여 있다.)		6		1			
0	6	Choice		줍는다.		7		1			
0	7	Dialog		(수첩의 첫 페이지를 펼쳐본다.)		8		1			
0	8	Skip				9		0	Popup		
0	9	Skip				10		0	Pop_FadeOut		
0	10	Dialog	Username	…아무래도 뭔가 사연이 있어 보이네.		11		1			
0	11	Dialog	Username	이대로 비를 맞고 있게 하기도 좀 그러니까…...		12		0	Dissolve		
0	12	Choice		집으로 데려간다.		13		0			
0	13	Skip				14		3	Dissolve		
0	14	Dialog	Username	(나는 고양이를 안은 채 집으로 향했다.)		15		3			
0	15	Dialog	Username	(그리고, 수첩과 화분도 함께 챙겼다.)		16		3			
0	16	Dialog	Username	(왠지 그래야만 할 것 같았다.)		-1		3	FadeOut_B		
